## Master file format version 1.0           2001.08.21 CCT&NRV

                         1988 MULTI-AGENCY SCHEDULE

                     Last Updated - April 13, 2006 - CCT


  SESSION  SESSION DATE  DOY TIME  DUR       STATIONS               SKED CORR STATUS  PF   DBC  SUBM  DEL  MK4
    NAME     CODE  mondd ddd hh:mm hr                                         yymondd      CODE       days NUM
----------------------------------------------------------------------------------------------------------------
|INT88-001 |I88001|JAN01|1  |     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A475 |IA475 |JUN06|158|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-49   |GN8849|JUN09|161|     |  |GcRi                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-161 |I88161|JUN09|161|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-162 |I88162|JUN10|162|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-163 |I88163|JUN11|163|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A476 |IA476 |JUN11|163|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-165 |I88165|JUN13|165|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-166 |I88166|JUN14|166|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-167 |I88167|JUN15|167|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-50   |GN8850|JUN16|168|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-168 |I88168|JUN16|168|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A477 |IA477 |JUN16|168|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|E.ATL-2   |EAT882|JUN17|169|     |  |McOnRiWfWz                   |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-170 |I88170|JUN18|170|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|POLAR-1   |PLR881|JUN18|170|     |  |GcMoOnWfWz                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-171 |I88171|JUN19|171|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ASTROM-4  |AST884|JUN20|172|     |  |GcHsMo                       |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-172 |I88172|JUN20|172|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-173 |I88173|JUN21|173|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A478 |IA478 |JUN21|173|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P15  |IP8815|JUN22|174|     |  |GcHrKa                       |NOAA|HAYS|       |    |XP  |NASA|     |    |
|GNUT-51   |GN8851|JUN23|175|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-175 |I88175|JUN23|175|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-176 |I88176|JUN24|176|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|HK-TIES1  |HK88T1|JUN25|177|     |  |GcHkKuMo                     |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-177 |I88177|JUN25|177|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-178 |I88178|JUN26|178|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A479 |IA479 |JUN26|178|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-180 |I88180|JUN28|180|     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|INT88-181 |I88181|JUN29|181|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-52   |GN8852|JUN30|182|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-182 |I88182|JUN30|182|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|HK-TIES2  |HK88T2|JUL01|183|     |  |GcHkKuMo                     |NASA|WASH|       |    |X   |NASA|     |    |
|IRIS-A480 |IA480 |JUL01|183|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-184 |I88184|JUL02|184|     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|CDP-88J1  |CD88J1|JUL03|185|     |  |GcKoMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-185 |I88185|JUL03|185|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88J2  |CD88J2|JUL04|186|     |  |GcKoMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-186 |I88186|JUL04|186|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88J3  |CD88J3|JUL05|187|     |  |GcKoMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-187 |I88187|JUL05|187|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-53   |GN8853|JUL06|188|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A481 |IA481 |JUL06|188|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-189 |I88189|JUL07|189|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-4     |ATD884|JUL08|190|     |  |GcGvMoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-190 |I88190|JUL08|190|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|HK-TIES3  |HKTIE3|JUL09|191|     |  |GcHkKuMo                     |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-192 |I88192|JUL10|192|     |  |WfWz                         |NOAA|WASH|       |    |XR  |NASA|     |    |
|CDP-88K1  |CD88K1|JUL11|193|     |  |GcMoSn                       |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A482 |IA482 |JUL11|193|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88K2  |CD88K2|JUL12|194|     |  |GcMoSnWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-194 |I88194|JUL12|194|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88K3  |CD88K3|JUL13|195|     |  |GcMoSnWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-195 |I88195|JUL13|195|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-196 |I88196|JUL14|196|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-197 |I88197|JUL15|197|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-54   |GN8854|JUL16|198|     |  |GcKuMd                       |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A483 |IA483 |JUL16|198|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|PPM-S2    |PM88S2|JUL16|198|     |  |45GcKaKuKwSh                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-199 |I88199|JUL17|199|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-55   |GN8855|JUL18|200|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-200 |I88200|JUL18|200|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-202 |I88202|JUL20|202|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88L1  |CD88L1|JUL21|203|     |  |GcMoWfYa                     |NASA|HAYS|       |    |X   |NASA|     |    |
|IRIS-A484 |IA484 |JUL21|203|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|WESK-1    |WSK881|JUL21|203|     |  |KaShWz                       |BONN|BONN|       |    |XW  |NASA|     |    |
|CDP-88L2  |CD88L2|JUL22|204|     |  |GcMoYa                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-204 |I88204|JUL22|204|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88L3  |CD88L3|JUL23|205|     |  |GcMoWfYa                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-205 |I88205|JUL23|205|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-W1    |PM88W1|JUL24|206|     |  |GcKuKwMoVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-207 |I88207|JUL25|207|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P16  |IP8816|JUL25|207|     |  |GcHrKa                       |NOAA|HAYS|       |    |XP  |NASA|     |    |
|GNUT-56   |GN8856|JUL26|208|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A485 |IA485 |JUL26|208|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88M1  |CD88M1|JUL27|209|     |  |GcMoSoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|CDP-88M2  |CD88M2|JUL28|210|     |  |GcMoSoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|CDP-88M3  |CD88M3|JUL29|211|     |  |GcMoSoWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-211 |I88211|JUL29|211|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-212 |I88212|JUL30|212|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|PPM-S3A   |P88S3A|JUL30|212|     |  |45GcKaKuKwSh                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-213 |I88213|JUL31|213|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A486 |IA486 |JUL31|213|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|PPM-S3B   |P88S3B|JUL31|213|     |  |45GcKaKuKwSh                 |NASA|HAYS|       |    |X   |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|DSN-07    |DS8807|AUG02|215|     |  |FtHrWf                       |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-215 |I88215|AUG02|215|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88N1  |CD88N1|AUG03|216|     |  |GcMoWfWt                     |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-216 |I88216|AUG03|216|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88N2  |CD88N2|AUG04|217|     |  |GcMoWfWt                     |NASA|WASH|       |    |X   |NASA|     |    |
|INT88-217 |I88217|AUG04|217|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88N3  |CD88N3|AUG05|218|     |  |GcMoWt                       |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-218 |I88218|AUG05|218|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A487 |IA487 |AUG05|218|     |  |HrMcWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|DSN-08    |DS8808|AUG06|219|     |  |1465                         |JPL |HAYS|       |    |D   |NASA|     |    |
|PPM-W2    |PM88W2|AUG06|219|     |  |GcKaKuKwMo                   |NASA|HAYS|       |    |X   |NASA|     |    |
|DSN-09    |DS8809|AUG07|220|     |  |1465                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-220 |I88220|AUG07|220|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-222 |I88222|AUG09|222|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-223 |I88223|AUG10|223|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A488 |IA488 |AUG10|223|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-58   |GN8858|AUG12|225|     |  |GcMcMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-225 |I88225|AUG12|225|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-226 |I88226|AUG13|226|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-227 |I88227|AUG14|227|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-228 |I88228|AUG15|228|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A489 |IA489 |AUG15|228|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-230 |I88230|AUG17|230|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-59   |GN8859|AUG18|231|     |  |McMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-231 |I88231|AUG18|231|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-232 |I88232|AUG19|232|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-10    |DS8810|AUG20|233|     |  |14Ti                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-233 |I88233|AUG20|233|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A490 |IA490 |AUG20|233|     |  |HrMcRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-60   |GN8860|AUG22|235|     |  |GcMcMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-235 |I88235|AUG22|235|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-236 |I88236|AUG23|236|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GSI-2     |GSI882|AUG25|238|     |  |KaTk                         |GSI |GSI |       |    |DX  |NASA|     |    |
|INT88-238 |I88238|AUG25|238|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A491 |IA491 |AUG25|238|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-242 |I88242|AUG29|242|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P17  |IP8817|AUG29|242|     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|INT88-243 |I88243|AUG30|243|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A492 |IA492 |AUG30|243|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|E.ATL-3   |EAT883|AUG31|244|     |  |65McRiWfWz                   |NASA|WASH|       |    |X   |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-245 |I88245|SEP01|245|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-11    |DS8811|SEP02|246|     |  |14Ti                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-246 |I88246|SEP02|246|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-247 |I88247|SEP03|247|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-12    |DS8812|SEP04|248|     |  |1465Ro                       |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-248 |I88248|SEP04|248|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A493 |IA493 |SEP04|248|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-250 |I88250|SEP06|250|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-251 |I88251|SEP07|251|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|ATD-5     |ATD885|SEP08|252|     |  |HrMoPtWf                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-252 |I88252|SEP08|252|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-253 |I88253|SEP09|253|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A494 |IA494 |SEP09|253|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|GNUT-62   |GN8862|SEP10|254|     |  |GcKuMdRi                     |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-255 |I88255|SEP11|255|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-256 |I88256|SEP12|256|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-257 |I88257|SEP13|257|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-258 |I88258|SEP14|258|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A495 |IA495 |SEP14|258|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-260 |I88260|SEP16|260|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-13    |DS8813|SEP17|261|     |  |14Ro                         |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-261 |I88261|SEP17|261|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|XPAC-2    |XPC882|SEP17|261|     |  |GcKaKu                       |NASA|WASH|       |    |X   |NASA|     |    |
|GNUT-63   |GN8863|SEP18|262|     |  |GcKuRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-262 |I88262|SEP18|262|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-263 |I88263|SEP19|263|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A496 |IA496 |SEP19|263|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|IRIS-P18  |IP8818|SEP20|264|     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|GNUT-64   |GN8864|SEP21|265|     |  |GcMd                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-265 |I88265|SEP21|265|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-266 |I88266|SEP22|266|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-267 |I88267|SEP23|267|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-268 |I88268|SEP24|268|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A497 |IA497 |SEP24|268|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-270 |I88270|SEP26|270|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-271 |I88271|SEP27|271|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-65   |GN8865|SEP28|272|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-272 |I88272|SEP28|272|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-273 |I88273|SEP29|273|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A498 |IA498 |SEP29|273|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-275 |I88275|OCT01|275|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-276 |I88276|OCT02|276|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-277 |I88277|OCT03|277|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A499 |IA499 |OCT04|278|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-279 |I88279|OCT05|279|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|FD-TIES1  |FD88T1|OCT06|280|     |  |HrMoMtPtWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-66   |GN8866|OCT06|280|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|GSI-3     |GSI883|OCT06|280|     |  |KaMy                         |GSI |GSI |       |    |DX  |NASA|     |    |
|INT88-280 |I88280|OCT06|280|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-281 |I88281|OCT07|281|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|FD-TIES2  |FD88T2|OCT08|282|     |  |H7HrMoPtWf                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-282 |I88282|OCT08|282|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A500 |IA500 |OCT09|283|     |  |HrWfWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-284 |I88284|OCT10|284|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-285 |I88285|OCT11|285|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|GNUT-67   |GN8867|OCT12|286|     |  |GcMdRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|GSI-4     |GSI884|OCT12|286|     |  |KaMy                         |GSI |GSI |       |    |DX  |NASA|     |    |
|INT88-286 |I88286|OCT12|286|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-287 |I88287|OCT13|287|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P19  |IP8819|OCT13|287|     |  |HrKaRi                       |NOAA|HAYS|       |    |XP  |NASA|     |    |
|IRIS-A501 |IA501 |OCT14|288|     |  |HrRiWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88O1  |CD88O1|OCT15|289|     |  |FlHcHrMoPl                   |NASA|HAYS|       |    |X   |NASA|     |    |
|CDP-88O2  |CD88O2|OCT16|290|     |  |HcHrMoPl                     |NASA|HAYS|       |    |X   |NASA|     |    |
|REFRAME-13|FR8813|OCT17|291|     |  |HcMd                         |NRL |WASH|       |    |XN  |NASA|     |    |
|W.ATL-3   |WAT883|OCT18|292|     |  |65HrMoOnWz                   |NASA|WASH|       |    |X   |NASA|     |    |
|IRIS-A502 |IA502 |OCT19|293|     |  |HrOnWz                       |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88P1  |CD88P1|OCT20|294|     |  |HcHrMoVbVeYu                 |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-68   |GN8868|OCT20|294|     |  |GcRi                         |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-294 |I88294|OCT20|294|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88P2  |CD88P2|OCT21|295|     |  |HcHrMoVbYu                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-296 |I88296|OCT22|296|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-297 |I88297|OCT23|297|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A503 |IA503 |OCT24|298|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|REFRAME-15|FR8815|OCT24|298|     |  |GcHc                         |NRL |WASH|       |    |XN  |NASA|     |    |
|CDP-88Q1  |CD88Q1|OCT25|299|     |  |BbElHcHrMoVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|CDP-88Q2  |CD88Q2|OCT26|300|     |  |BbElHcHrMoVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-302 |I88302|OCT28|302|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|REFRAME-16|FR8816|OCT28|302|     |  |GcHc                         |NRL |WASH|       |    |XN  |NASA|     |    |
|IRIS-A504 |IA504 |OCT29|303|     |  |HrMcRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|PPM-N2    |PM88N2|OCT29|303|     |  |GcHcKaKuMoVb                 |NASA|WASH|       |    |X   |NASA|     |    |
|CDP-88R1  |CD88R1|OCT30|304|     |  |HcHrMeMoOoQuVb               |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-69   |GN8869|OCT30|304|     |  |GcKuRi                       |USNO|WASH|       |    |XO  |NASA|     |    |
|INT88-304 |I88304|OCT30|304|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88R2  |CD88R2|OCT31|305|     |  |HcHrMeMoOoQuVb               |NASA|HAYS|       |    |X   |NASA|     |    |
----------------------------------------------------------------------------------------------------------------
|INT88-306 |I88306|NOV01|306|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|NAPS-E    |NAP88E|NOV01|306|     |  |WfWz                         |NASA|WASH|       |    |X   |NASA|     |    |
|IRIS-A505 |IA505 |NOV03|308|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88S1  |CD88S1|NOV04|309|     |  |J1MoOoPfVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-309 |I88309|NOV04|309|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-P20  |IP8820|NOV04|309|     |  |GcHrKaRi                     |NOAA|HAYS|       |    |XP  |NASA|     |    |
|CDP-88S2  |CD88S2|NOV05|310|     |  |J1MoOoPfVb                   |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-310 |I88310|NOV05|310|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|DSN-14    |DS8814|NOV06|311|     |  |14RoTi                       |JPL |HAYS|       |    |D   |NASA|     |    |
|INT88-311 |I88311|NOV06|311|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|R&D-5     |RD885 |NOV06|311|     |  |15GcHsOo                     |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-312 |I88312|NOV07|312|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|CDP-88T1  |CD88T1|NOV08|313|     |  |FsGcHcMoOoPrVb               |NASA|HAYS|       |    |X   |NASA|     |    |
|GNUT-71   |GN8871|NOV08|313|     |  |GcKuMcMdRi                   |USNO|WASH|       |    |XO  |NASA|     |    |
|IRIS-A506 |IA506 |NOV08|313|     |  |HrOnRiWfWz                   |NOAA|WASH|       |    |XI  |NASA|     |    |
|CDP-88T2  |CD88T2|NOV09|314|     |  |FsGcHcMoOoVb                 |NASA|HAYS|       |    |X   |NASA|     |    |
|E.ATL-4   |EAT884|NOV09|314|     |  |65McOnRiWf                   |NASA|WASH|       |    |XA  |NASA|     |    |
|POLAR-2   |PLR882|NOV10|315|     |  |GcKaMoOnWfWz                 |NASA|HAYS|       |    |X   |NASA|     |    |
|INT88-316 |I88316|NOV11|316|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-317 |I88317|NOV12|317|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|IRIS-A507 |IA507 |NOV13|318|     |  |HrRiWfWz                     |NOAA|WASH|       |    |XI  |NASA|     |    |
|INT88-319 |I88319|NOV14|319|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
|INT88-320 |I88320|NOV15|320|     |  |WfWz                         |NOAA|WASH|       |    |XU  |NASA|     |    |
